claim_id,record_id,field,exact_claim,claim_category,source_id,locator,evidence_status,documentary_status,measurement_status,design_status,uncertainty,reviewer,proposed_action
W1-C0011,nomadic-rugs,culturalContext (= culturalContextFa),گلیم، گبه و قالی‌های دستباف ایل قشقایی و بختیاری فارس و چهارمحال,cultural-history,none-opened,-,unverified,not-checked-source-blocked,not-applicable,not-applicable,"groups Qashqai (Fars) and Bakhtiari (Chaharmahal/Khuzestan) without distinction; schema: English-named field ""culturalContext"" holds the identical Persian text and is rendered as English copy in the EN UI",W1-sequential-AI-review,"rewrite as attributed/hedged text or add a specific citation; supply a real English ""culturalContext"""
W1-C0012,nomadic-rugs,unescoRef (= unescoRefFa),مهارت‌های سنتی فرش‌بافی فارس (ثبت میراث ناملموس یونسکو),heritage-designation,none-opened,-,unverified,not-checked-source-blocked,not-applicable,not-applicable,"ICH page blocked; the cited Fars carpet-weaving listing (as worded) would not cover Bakhtiari weaving; schema: English-named field ""unescoRef"" holds the identical Persian text and is rendered as English copy in the EN UI",W1-sequential-AI-review,"rewrite as attributed/hedged text or add a specific citation; supply a real English ""unescoRef"""
W1-C0013,minakari-craft,description (= descriptionFa),لعاب فیروزه و لاجورد بر مس کوره و درخشش زرین فلزکاری و قلم‌زنی مکتب اصفهان با پیشینه پنج‌هزار ساله.,cultural-history,none-opened,-,unverified,not-checked-source-blocked,not-applicable,not-applicable,"""پیشینه پنج‌هزار ساله"" (5,000-year history) unsourced; schema: English-named field ""description"" holds the identical Persian text and is rendered as English copy in the EN UI",W1-sequential-AI-review,"rewrite as attributed/hedged text or add a specific citation; supply a real English ""description"""
W1-C0014,minakari-craft,culturalContext (= culturalContextFa),میدان نقش جهان، بازار مسگرها و کارگاه‌های میناکاری اصفهان,cultural-history,none-opened,-,unverified,not-checked-source-blocked,not-applicable,not-applicable,"no source; schema: English-named field ""culturalContext"" holds the identical Persian text and is rendered as English copy in the EN UI",W1-sequential-AI-review,"rewrite as attributed/hedged text or add a specific citation; supply a real English ""culturalContext"""
W1-C0015,minakari-craft,unescoRef (= unescoRefFa),شهر جهانی صنایع دستی (Isfahan World Crafts City),heritage-designation,none-opened,-,unverified,not-checked-source-blocked,not-applicable,not-applicable,"text cites World Crafts City (a World Crafts Council designation); page blocked; schema: English-named field ""unescoRef"" holds the identical Persian text and is rendered as English copy in the EN UI",W1-sequential-AI-review,"rewrite as attributed/hedged text or add a specific citation; supply a real English ""unescoRef"""
W1-C0016,toranj-illumination,description (= descriptionFa),تذهیب، تشعیر و طلااندازی اوراق نفیس خطی، شمسه‌های ترنجی و نقوش اسلیمی زرنگار مکتب قزوین، هرات و اصفهان.,cultural-history,none-opened,-,unverified,not-checked-source-blocked,not-applicable,not-applicable,"no source; schema: English-named field ""description"" holds the identical Persian text and is rendered as English copy in the EN UI",W1-sequential-AI-review,"rewrite as attributed/hedged text or add a specific citation; supply a real English ""description"""
W1-C0017,toranj-illumination,culturalContext (= culturalContextFa),نسخه‌های خطی کهن کاخ گلستان، موزه رضا عباسی و کتابخانه آستان قدس,cultural-history,none-opened,-,unverified,not-checked-source-blocked,not-applicable,not-applicable,"collections named (Golestan Palace, Reza Abbasi Museum, Astan Quds library) but no object cited; schema: English-named field ""culturalContext"" holds the identical Persian text and is rendered as English copy in the EN UI",W1-sequential-AI-review,"rewrite as attributed/hedged text or add a specific citation; supply a real English ""culturalContext"""
W1-C0018,toranj-illumination,unescoRef (= unescoRefFa),هنر تذهیب و کتاب‌آرایی سنتی ایران (ثبت میراث فرهنگی یونسکو),heritage-designation,none-opened,-,unverified,not-checked-source-blocked,not-applicable,not-applicable,"ICH page blocked; no listing name or year given; schema: English-named field ""unescoRef"" holds the identical Persian text and is rendered as English copy in the EN UI",W1-sequential-AI-review,"rewrite as attributed/hedged text or add a specific citation; supply a real English ""unescoRef"""
W1-C0019,persian-gulf-pearls,description (= descriptionFa),امواج نیلگون خلیج پارس، خاک سرخ معدنی جزیره هرمز، درخشش مروارید غلطان قشم و صخره‌های مرجانی سواحل مکران.,cultural-history,none-opened,-,unverified,not-checked-source-blocked,not-applicable,not-applicable,"Makran coast lies on the Gulf of Oman, not the Persian Gulf (geographic flattening; not source-checked); schema: English-named field ""description"" holds the identical Persian text and is rendered as English copy in the EN UI",W1-sequential-AI-review,"rewrite as attributed/hedged text or add a specific citation; supply a real English ""description"""
W1-C0020,persian-gulf-pearls,culturalContext (= culturalContextFa),تنگه هرمز، جزایر قشم، هرمز، کیش و دریانوردی بادبانی لنج‌های کهن,cultural-history,none-opened,-,unverified,not-checked-source-blocked,not-applicable,not-applicable,"no source; schema: English-named field ""culturalContext"" holds the identical Persian text and is rendered as English copy in the EN UI",W1-sequential-AI-review,"rewrite as attributed/hedged text or add a specific citation; supply a real English ""culturalContext"""
W1-C0021,persian-gulf-pearls,unescoRef (= unescoRefFa),دانش ساخت و دریانوردی با لنج سنتی خلیج فارس (میراث یونسکو ۲۰۱۱),heritage-designation,none-opened,-,unverified,not-checked-source-blocked,not-applicable,not-applicable,"ICH page blocked (Lenj listing, 2011 claimed); schema: English-named field ""unescoRef"" holds the identical Persian text and is rendered as English copy in the EN UI",W1-sequential-AI-review,"rewrite as attributed/hedged text or add a specific citation; supply a real English ""unescoRef"""
W1-C0022,gardens-of-shiraz,description (= descriptionFa),پردیس‌های ایرانی باغ ارم و دلگشا، عطر گل سرخ محمدی، طراوت بهارنارنج و سایه‌سار سروهای ناز حافظیه در اردیبهشت شیراز.,cultural-history,none-opened,-,unverified,not-checked-source-blocked,not-applicable,not-applicable,"no source; schema: English-named field ""description"" holds the identical Persian text and is rendered as English copy in the EN UI",W1-sequential-AI-review,"rewrite as attributed/hedged text or add a specific citation; supply a real English ""description"""
W1-C0023,gardens-of-shiraz,culturalContext (= culturalContextFa),باغ ارم، نارنجستان قوام، باغ جهان‌نما و مقبره حافظ در شیراز,cultural-history,none-opened,-,unverified,not-checked-source-blocked,not-applicable,not-applicable,"only Eram is plausibly a component of ""The Persian Garden""; Qavam, Jahan-nama and Hafezieh are not WHC components per auditor knowledge (not checked); schema: English-named field ""culturalContext"" holds the identical Persian text and is rendered as English copy in the EN UI",W1-sequential-AI-review,"rewrite as attributed/hedged text or add a specific citation; supply a real English ""culturalContext"""
W1-C0024,gardens-of-shiraz,unescoRef (= unescoRefFa),باغ ایرانی (ثبت میراث جهانی یونسکو ۲۰۱۱),heritage-designation,S003,ref_no 1372,supported,checked-against-S003,not-applicable,not-applicable,"S003: ref_no 1372 ""The Persian Garden"" date_inscribed 2011; component list not in S003; schema: English-named field ""unescoRef"" holds the identical Persian text and is rendered as English copy in the EN UI",W1-sequential-AI-review,"keep; add WHC id and URL; supply a real English ""unescoRef"""
W1-C0025,khorasan-gems,description (= descriptionFa),کهن‌ترین معدن فیروزه جهان در نیشابور، یاقوت‌های اناری، کهربای توس و زمردهای درخشان در گنجینه‌های جواهرات ملی مشرق ایران.,cultural-history,none-opened,-,unverified,not-checked-source-blocked,not-applicable,not-applicable,"""کهن‌ترین معدن فیروزه جهان"" (oldest turquoise mine in the world) unsourced; rubies/emeralds/amber not Khorasan products per record; schema: English-named field ""description"" holds the identical Persian text and is rendered as English copy in the EN UI",W1-sequential-AI-review,"rewrite as attributed/hedged text or add a specific citation; supply a real English ""description"""
W1-C0026,khorasan-gems,culturalContext (= culturalContextFa),معادن فیروزه نیشابور، کوهسنگی مشهد و طلاکاری‌های آستان قدس رضوی,cultural-history,none-opened,-,unverified,not-checked-source-blocked,not-applicable,not-applicable,"no source; schema: English-named field ""culturalContext"" holds the identical Persian text and is rendered as English copy in the EN UI",W1-sequential-AI-review,"rewrite as attributed/hedged text or add a specific citation; supply a real English ""culturalContext"""
W1-C0027,khorasan-gems,unescoRef (= unescoRefFa),نیشابور شهر جهانی فیروزه (World Crafts Council),heritage-designation,none-opened,-,unverified,not-checked-source-blocked,not-applicable,not-applicable,"text cites World Crafts Council, not UNESCO; page blocked; schema: English-named field ""unescoRef"" holds the identical Persian text and is rendered as English copy in the EN UI",W1-sequential-AI-review,"rewrite as attributed/hedged text or add a specific citation; supply a real English ""unescoRef"""
W1-C0028,hyrcanian-forests,description (= descriptionFa),کهن‌ترین جنگل‌های پهن‌برگ جهان با قدمت دوره ژوراسیک، صخره‌های مه‌آلود البرز، راشستان‌های سرسبز و برف‌های قله دماوند.,cultural-history,S007,heritage-data.ts hyrcanian-forests.descriptionFa vs c1.meaningFa,contradicted,internal-conflict,not-applicable,not-applicable,"internal conflict: description dates forests to the Jurassic while hyrcanian-forests-c1 says ""ice age"" and ""50 million years"" (Jurassic ended ~145 Mya); at least one is wrong; schema: English-named field ""description"" holds the identical Persian text and is rendered as English copy in the EN UI",W1-sequential-AI-review,"rewrite as attributed/hedged text or add a specific citation; supply a real English ""description"""
W1-C0029,hyrcanian-forests,culturalContext (= culturalContextFa),جنگل‌های تالش، دره چالوس، پارک ملی گلستان و کوهپایه‌های دماوند,cultural-history,none-opened,-,unverified,not-checked-source-blocked,not-applicable,not-applicable,"no source; schema: English-named field ""culturalContext"" holds the identical Persian text and is rendered as English copy in the EN UI",W1-sequential-AI-review,"rewrite as attributed/hedged text or add a specific citation; supply a real English ""culturalContext"""
W1-C0030,hyrcanian-forests,unescoRef (= unescoRefFa),جنگل‌های هیرکانی (ثبت میراث جهانی طبیعی یونسکو ۲۰۱۹),heritage-designation,none-opened,-,unverified,not-checked-source-blocked,not-applicable,not-applicable,"inscription post-dates S003 (2014); whc.unesco.org blocked; schema: English-named field ""unescoRef"" holds the identical Persian text and is rendered as English copy in the EN UI",W1-sequential-AI-review,"rewrite as attributed/hedged text or add a specific citation; supply a real English ""unescoRef"""
W1-C0031,yazd-saffron-desert,description (= descriptionFa),بادگیرهای افراشته خشتی، زعفران سرگل قائنات، ساباط‌های سایه‌انداز و تپه‌های ماسه طلایی دشت لوت در کهن‌ترین شهر خشتی جهان.,cultural-history,none-opened,-,unverified,not-checked-source-blocked,not-applicable,not-applicable,"""کهن‌ترین شهر خشتی جهان"" unsourced; Qaenat saffron and Lut dunes are outside Yazd (regional flattening); schema: English-named field ""description"" holds the identical Persian text and is rendered as English copy in the EN UI",W1-sequential-AI-review,"rewrite as attributed/hedged text or add a specific citation; supply a real English ""description"""
W1-C0032,yazd-saffron-desert,culturalContext (= culturalContextFa),شهر تاریخی یزد، بافت تاریخی، قنات زارچ، باغ دولت‌آباد و رمل‌های کویر لوت,cultural-history,none-opened,-,unverified,not-checked-source-blocked,not-applicable,not-applicable,"includes Lut desert sands which are not in Yazd; schema: English-named field ""culturalContext"" holds the identical Persian text and is rendered as English copy in the EN UI",W1-sequential-AI-review,"rewrite as attributed/hedged text or add a specific citation; supply a real English ""culturalContext"""
W1-C0033,yazd-saffron-desert,unescoRef (= unescoRefFa),شهر تاریخی یزد (ثبت میراث جهانی یونسکو ۲۰۱۷),heritage-designation,none-opened,-,unverified,not-checked-source-blocked,not-applicable,not-applicable,"inscription post-dates S003 (2014); whc.unesco.org blocked; schema: English-named field ""unescoRef"" holds the identical Persian text and is rendered as English copy in the EN UI",W1-sequential-AI-review,"rewrite as attributed/hedged text or add a specific citation; supply a real English ""unescoRef"""
W1-C0034,bazaar-spices,description (= descriptionFa),تپه‌های زردچوبه ممتاز، عطر دارچین باستانی، پاپریکای تند و پسته خندان در کاروانسراهای سرپوشیده جاده ابریشم در بازار بزرگ تبریز و اصفهان.,cultural-history,none-opened,-,unverified,not-checked-source-blocked,not-applicable,not-applicable,"internal inconsistency: description names Tabriz and Isfahan bazaars, culturalContext names Tabriz and Tehran; schema: English-named field ""description"" holds the identical Persian text and is rendered as English copy in the EN UI",W1-sequential-AI-review,"rewrite as attributed/hedged text or add a specific citation; supply a real English ""description"""
W1-C0035,bazaar-spices,culturalContext (= culturalContextFa),تیمچه مظفریه و راسته عطاران در بازار تاریخی تبریز و بازار بزرگ تهران,cultural-history,none-opened,-,unverified,not-checked-source-blocked,not-applicable,not-applicable,"see description; no source; schema: English-named field ""culturalContext"" holds the identical Persian text and is rendered as English copy in the EN UI",W1-sequential-AI-review,"rewrite as attributed/hedged text or add a specific citation; supply a real English ""culturalContext"""
W1-C0036,bazaar-spices,unescoRef (= unescoRefFa),مجموعه بازار تاریخی تبریز (ثبت میراث جهانی یونسکو ۲۰۱۰),heritage-designation,S003,ref_no 1346,supported,checked-against-S003,not-applicable,not-applicable,"S003: ref_no 1346 ""Tabriz Historic Bazaar Complex"" date_inscribed 2010; schema: English-named field ""unescoRef"" holds the identical Persian text and is rendered as English copy in the EN UI",W1-sequential-AI-review,"keep; add WHC id and URL; supply a real English ""unescoRef"""
W1-C0037,isfahan-tiles-c1,hex,#120A8F,color-value,S002,"S002 ""Ultramarine""",designer-choice,exact-match-in-modern-color-list,none-on-record (measuredSpectra=0),designer-choice,HEX identical to a modern named-color list entry; suggests digital-list origin rather than material measurement,W1-sequential-AI-review,"label as designer choice; if derived from a named-color list, say so"
W1-C0038,isfahan-tiles-c1,nameEn,Ultramarine Lapis,naming,S002,"S002 ""Ultramarine""",illustrative,pair-found-in-modern-list,not-applicable,designer-choice,modern list entry is not evidence of historical use,W1-sequential-AI-review,keep as label; avoid implying historical name
W1-C0039,isfahan-tiles-c1,nameFa,لاجوردی (Ultramarine),naming,none,-,illustrative,evocative-label,not-applicable,designer-choice,label only,W1-sequential-AI-review,none
W1-C0040,isfahan-tiles-c1,meaningFa,اصلاح شده برای بازتاب دقیق کبالت و لاجورد کاشی‌های مسجد شاه,cultural-history,S007,README.fa.md:21; tokens/data-quality.json,contradicted,internal-conflict,no-measurement-on-record,not-applicable,"claims HEX was ""corrected for accurate reflection"" of the tiles; README.fa.md:21 says HEX is a design choice and data-quality.json reports 0 measured spectra",W1-sequential-AI-review,remove or correct
W1-C0041,isfahan-tiles-c1,mineralogical.mineralName,Lazurite Silicate & Cobalt(II) Oxide Glaze,material,none-opened,heritage-data.ts isfahan-tiles-c1.evidence.mineralogical,unverified,not-checked,no-analysis-on-record,not-applicable,material attribution uncited,W1-sequential-AI-review,cite analysis or mark as inspiration
W1-C0042,isfahan-tiles-c1,mineralogical.chemicalFormula,Na₆Ca₂[S|AlSiO₄]₆ + CoO,chemistry,S004,RRUFF_Export.csv row by mineral name,partially-supported,checked-against-S004,no-analysis-on-record,not-applicable,"S004 lazurite Na3Ca(Si3Al3)O12S (x2 = Na6Ca2Al6Si6O24S2); record notation ""Na6Ca2[S|AlSiO4]6"" has one S and adds CoO as a mixture",W1-sequential-AI-review,correct or remove
W1-C0043,isfahan-tiles-c1,mineralogical.casNumber,1302-85-8,chemistry-identifier,S005,CAS 1302-85-8,unverified,not-found-in-S005,not-applicable,not-applicable,check digit valid; not present in S005; PubChem/CAS Common Chemistry blocked,W1-sequential-AI-review,remove or replace with the CAS RN of the named substance
W1-C0044,isfahan-tiles-c1,mineralogical.historicalManuscriptRef,عرائس الجواهر و نفائس الأطایب - ابوالقاسم کاشانی (قرن هشتم هجری),documentary-reference,none-opened,no page/folio/edition given,unverified,not-checked-source-blocked,not-applicable,not-applicable,work and author are well known (c. 700 AH) and plausibly discuss lapis and tile making; passage not read; applied to 17th-c. Safavid tiles (chronological gap),W1-sequential-AI-review,"give edition, folio/page and quoted passage, or mark as ""further reading"""
W1-C0045,isfahan-tiles-c1,mineralogical.traditionalExtraction,تکلیس کانی لاجورد با صمغ عربی و کداخت کبالت در کوره کاشی هفت‌رنگ,craft-process,none-opened,-,unverified,not-checked,not-applicable,not-applicable,process description uncited,W1-sequential-AI-review,cite or remove
W1-C0046,isfahan-tiles-c1,mineralogical.crystalSystem,مکعبی ایزومتریک (Isometric),mineralogy,none-opened,-,unverified,not-checked,not-applicable,not-applicable,not checked (mindat/RRUFF pages blocked; S004 copy has no crystal-system column),W1-sequential-AI-review,verify
W1-C0047,isfahan-tiles-c1,geoSpatial.originSite,"Shah Mosque & Sheikh Lotfollah, Isfahan | مسجد شاه و شیخ لطف‌الله، میدان نقش جهان اصفهان",geography,none-opened,-,unverified,not-checked,not-applicable,not-applicable,site-to-colour link not documented,W1-sequential-AI-review,name a specific site or remove
W1-C0048,isfahan-tiles-c1,geoSpatial.coordinates,"32.6514,51.6776,1574",geography,S003,"ref_no 115 (32.65745, 51.67777778)",partially-supported,checked-against-S003,not-applicable,not-applicable,"0.67 km from WHC 115 (Meidan Emam, Esfahan) reference point; building-level position not verified",W1-sequential-AI-review,keep; cite reference point and precision
W1-C0049,isfahan-tiles-c1,geoSpatial.unescoHeritageRef,UNESCO World Heritage Ref: 115 (Meidan Emam),heritage-designation,S003,ref_no 115,supported,checked-against-S003,not-applicable,not-applicable,"S003: ref_no 115 = ""Meidan Emam, Esfahan"" (1979)",W1-sequential-AI-review,keep; link whc.unesco.org/en/list/115
W1-C0050,isfahan-tiles-c1,spectral.peakWavelengthNm,455 nm (dominant 452 nm),spectral,S007,palettes.ts provenance.spectralStatus,illustrative,not-applicable,not-measured (measuredSpectra=0),not-applicable,model value,W1-sequential-AI-review,keep labelled illustrative
W1-C0051,isfahan-tiles-c1,historicalContextFa,کاشی‌کاری‌های معرق گنبد و محراب مسجد شاه اصفهان در دوره شاه عباس اول,cultural-history,none-opened,-,unverified,not-checked,not-applicable,not-applicable,uncited,W1-sequential-AI-review,cite or remove
W1-C0052,isfahan-tiles-c1,artMovement,مکتب اصفهان / معماری صفوی و کاشی هفت‌رنگ,art-history,none-opened,-,unverified,not-checked,not-applicable,not-applicable,uncited attribution,W1-sequential-AI-review,cite
W1-C0053,isfahan-tiles-c1,chemical.molarMass (raw; dropped by normaliser),985.4 g/mol,chemistry-arithmetic,S005;S006,molar-mass-check.out.tsv,unverified,arithmetic-check,not-applicable,not-applicable,a mixture has no single molar mass; lazurite alone recomputes to 996.61 (arithmetic consistency only; not evidence the material is present),W1-sequential-AI-review,drop from source data (already excluded from normalised output)
W1-C0054,isfahan-tiles-c2,hex,#30D5C8,color-value,S002,"S002 ""Turquoise""",designer-choice,exact-match-in-modern-color-list,none-on-record (measuredSpectra=0),designer-choice,HEX identical to a modern named-color list entry; suggests digital-list origin rather than material measurement,W1-sequential-AI-review,"label as designer choice; if derived from a named-color list, say so"
W1-C0055,isfahan-tiles-c2,nameEn,Persian Turquoise,naming,S002,"S002 ""Turquoise""",illustrative,pair-found-in-modern-list,not-applicable,designer-choice,modern list entry is not evidence of historical use,W1-sequential-AI-review,keep as label; avoid implying historical name
W1-C0056,isfahan-tiles-c2,nameFa,فیروزه‌ای اصیل (Persian Turquoise),naming,none,-,unverified,authenticity-adjective-unsupported,not-applicable,designer-choice,"name asserts authenticity/purity (""اصیل""/""ناب"")",W1-sequential-AI-review,drop authenticity adjective
W1-C0057,isfahan-tiles-c2,meaningFa,استاندارد جهانی فیروزه‌ای ایرانی و نگین نیشابور,cultural-history,S002,HEX lookup,unverified,checked-against-S002,not-applicable,not-applicable,"""world standard"" claim; HEX #30D5C8 equals the ""Turquoise"" entry in S002 (a modern list, not a standard) and is not in S001",W1-sequential-AI-review,hedge or cite
W1-C0058,isfahan-tiles-c2,mineralogical.mineralName,Hydrated Copper Aluminum Phosphate,material,none-opened,heritage-data.ts isfahan-tiles-c2.evidence.mineralogical,unverified,not-checked,no-analysis-on-record,not-applicable,material attribution uncited,W1-sequential-AI-review,cite analysis or mark as inspiration
W1-C0059,isfahan-tiles-c2,mineralogical.chemicalFormula,CuAl₆(PO₄)₄(OH)₈·4H₂O,chemistry,S004,RRUFF_Export.csv row by mineral name,supported,checked-against-S004,no-analysis-on-record,not-applicable,S004 turquoise CuAl6(PO4)4(OH)8·4H2O exact match (mineral); relevance to a copper-alkaline tile glaze not established,W1-sequential-AI-review,"keep formula but label as reference formula of the named material, not an analysis of this colour"
W1-C0060,isfahan-tiles-c2,mineralogical.casNumber,1319-32-0,chemistry-identifier,S005,CAS 1319-32-0,unverified,not-found-in-S005,not-applicable,not-applicable,check digit valid; not present in S005; PubChem/CAS Common Chemistry blocked,W1-sequential-AI-review,remove or replace with the CAS RN of the named substance
W1-C0061,isfahan-tiles-c2,mineralogical.historicalManuscriptRef,التفهیم لأوائل صناعة التنجیم - ابوریحان بیرونی,documentary-reference,none-opened,no page/folio/edition given,unverified,not-checked-source-blocked,not-applicable,not-applicable,"al-Tafhim is an astronomy/astrology primer; al-Biruni's gem treatise is al-Jamahir (auditor background knowledge, not opened): suspected mis-attribution",W1-sequential-AI-review,"give edition, folio/page and quoted passage, or mark as ""further reading"""
W1-C0062,isfahan-tiles-c2,mineralogical.traditionalExtraction,استخراج رگه‌ای دستی از کوه بینالود و پرداخت با خاکه ساینده,craft-process,none-opened,-,unverified,not-checked,not-applicable,not-applicable,process description uncited,W1-sequential-AI-review,cite or remove
W1-C0063,isfahan-tiles-c2,mineralogical.crystalSystem,تری‌کلینیک (Triclinic),mineralogy,none-opened,-,unverified,not-checked,not-applicable,not-applicable,not checked (mindat/RRUFF pages blocked; S004 copy has no crystal-system column),W1-sequential-AI-review,verify
W1-C0064,isfahan-tiles-c2,geoSpatial.originSite,Neyshabur Turquoise Mines | معدن فیروزه نیشابور، خراسان رضوی,geography,none-opened,-,unverified,not-checked,not-applicable,not-applicable,site-to-colour link not documented,W1-sequential-AI-review,name a specific site or remove
W1-C0065,isfahan-tiles-c2,geoSpatial.coordinates,"36.4633,58.8025,1650",geography,none-opened,-,unverified,not-checked,not-applicable,not-applicable,"no reference coordinate opened; conflicting legacy geo 36.2133,58.7958 is 27.81 km away",W1-sequential-AI-review,remove or replace with sourced coordinates
W1-C0066,isfahan-tiles-c2,geoSpatial.unescoHeritageRef,ثبت میراث ملموس صنعتی-معدنی یونسکو,heritage-designation,none-opened,-,unverified,not-checked,not-applicable,not-applicable,"""UNESCO tangible industrial-mining heritage"": no Neyshabur property in S003 (2014); legacy geo record calls it a World Crafts Council designation instead",W1-sequential-AI-review,remove generic UNESCO wording
W1-C0067,isfahan-tiles-c2,geo (legacy alternative) latitude/longitude + unescoSiteId,"معدن فیروزه نیشابور، خراسان رضوی | 36.2133,58.7958,1650 | WCC Craft City",geography,none-opened,-,unverified,not-checked,not-applicable,not-applicable,"alternative record ""WCC Craft City"" not an identifiable WHC property in S003; retained as unresolved conflict by palettes.ts",W1-sequential-AI-review,resolve conflict with a cited source
W1-C0068,isfahan-tiles-c2,spectral.peakWavelengthNm,498 nm (dominant 496 nm),spectral,S007,palettes.ts provenance.spectralStatus,illustrative,not-applicable,not-measured (measuredSpectra=0),not-applicable,model value,W1-sequential-AI-review,keep labelled illustrative
