domain,feature_or_check,owner,performed_checks,evidence,status,gaps_or_findings
F,Automated accessibility (axe),W2,"axe-core 4.13.0 with WCAG 2.2 AA tags, 2 editions x 2 themes x dialogs",evidence/W2-browser/results/04-axe-summary.json,fail,"4 rules, 875 nodes"
F,"Keyboard, focus, dialogs, skip link",W2,"80 tab stops; trap, Escape and restore",results/05-keyboard-a11y.json,pass,-
F,Contrast of rendered text,W2,getComputedStyle sampling in both themes,results/06-perf-graphics.json,fail,"MSR-A11Y-001, MSR-A11Y-003"
F,Reflow and zoom,W2,320x640; 400% emulated at 320x256,results/08-zoom400.json,fail,MSR-A11Y-002
F,Screen reader,W2,None available,-,not-tested,No NVDA/JAWS/VoiceOver/TalkBack in environment
F,Persian font readability,A02/W2,-,-,not-tested,Requires user testing; APCA is calibrated for Barlow
G,All workflows and exports,W2,Exercised about 409 controls across 9 dialogs,results/02-workflows.json,pass,Content issues in MSR-DATA-003
G,Console/runtime errors,W2,8 cold-load configurations,results/01-smoke.json,pass,-
G,"WebGL lifecycle, fallback, performance",W2,"Frame counts, no-WebGL, context loss, resize, heap over 10 cycles",results/06-perf-graphics.json,fail,MSR-GFX-001/002/003
G,Offline and external requests,W2,Network blocked; request log,results/01-smoke.json; 02-workflows.json,pass,Photo mode fails silently offline
G,Camera/clipboard permission states,W2,Fake device; grant and deny,"results/02, 03",pass,Camera error not announced (MSR-A11Y-006)
G,Privacy data flows,W2/W3,Storage dump; request hosts,ACCESSIBILITY_AND_UX.md §3,pass-with-limitation,Wikimedia IP exposure only partly disclosed (MSR-LIC-003)
G,Safari/Firefox/real devices,W2,-,-,not-tested,Not available
H,DTCG 2025.10 conformance,W3,Compared against spec source from GitHub (site blocked),W3 §6,pass,-
H,Style Dictionary 5.5.5,W3,Built 5 platforms from the shipped JSON,evidence/W3-security/interop/style-dictionary.log,pass,-
H,Tailwind v3 and v4,W3,Compiled real utilities with 3.4.19 and 4.3.3,interop/tailwind.log,pass,Step semantics issue (MSR-INT-002)
H,Kotlin/Compose compile,W3,kotlinc 2.1.21 with Compose desktop jars,kotlin-compile.log,pass,Android/AGP not tested; 24 of 36 roles (MSR-INT-003)
H,Swift/SwiftUI compile,W3,Static identifier check only,W3 §6,not-tested,swiftc unavailable; exact commands provided
H,Figma / Tokens Studio import,W3,Type-checked against the plugin typings; structure check,figma-typecheck.log,not-tested,No Figma runtime; MSR-INT-004
H,Exporter injection/robustness,W3/A13,Crafted names and IDs,exporter-injection-probe.log,fail,MSR-INT-001
I,Threat model and DOM sinks,W3,16 sinks traced to their sources,W3 §3; dom-sinks.log,pass,Latent pattern risk (MSR-SEC-001)
I,Local server exposure,W3,Live traversal probes,serve-probe.log; W3-SENSITIVE.md,pass,No Host check; follows symlinks (Low)
I,Dependency advisories,W3,npm audit x4,npm-audit.log,pass,-
I,CI permissions and pinning,W3,Checked workflow; ls-remote SHA pins,release-ci-facts.log,pass,Template release.yml unpinned (MSR-REL-005)
I,License inventory and notices,W3,"Traced what ships in npm, HTML and ZIP",SECURITY_AND_LICENSES.md,fail,MSR-LIC-001/002/003; counsel questions
J,Test suite quality,A13,Read all 26 tests; ran diagnostic tests,evidence/A13-qa/,fail,MSR-QA-001
J,Clean build/pack/install outside repo,A00,"npm ci, check, pack, verify on an isolated clone",evidence/A00-baseline/,pass,-
J,Source ZIP extracted and rebuilt elsewhere,A00,pack:studio on clean checkout,pack-studio-committed-manifest.log.txt,fail,MSR-REL-002
J,Release vs declared commit,W3,GitHub release/tag metadata; asset comparison,release-ci-facts.log,fail,MSR-REL-001
J,Documentation examples,A00/A06,Ran all 4 examples against the tarball and compared commented values,A00 A06,pass,The harness checks only the exit code
J,Governance/attribution/AI disclosure,A06,"Read package.json, LICENSE, SECURITY, ROADMAP and review file",A00 A06,fail,"MSR-GOV-001, MSR-DOC-001"
K,Brand identity inventory and migration plan,A00/W2,git grep counts; UI string inventory,BRAND_MIGRATION.md,pass,"Owner decisions pending (pronunciation, extension key, npm scope)"
K,"External moves (repo rename, npm publish)",A00,Deliberately not performed,BRAND_MIGRATION.md,not-applicable,Out of scope for the audit by instruction
